"runCount","noiseLevel","distinctRunNo","decision","maximumSM","midpoint","slopeParam","maximumDSM","midPoint1Param","slope1Param","slope2Param","midPointDistanceParam","finalAsymptoteIntensityRatio","timeChoice","noiseType","maximumSMValue","slopeParamValue","midpointValue","mAError","realInput"
NA,0.75,1,"sigmoidal",4.23198905810359,5.96246580211752,0.951220976161123,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","multiplicative",4.30053994066548,0.793921512199226,6.22022098861635,0.0164919103934592,"sigmoidal"
NA,0.6,1,"sigmoidal",4.44208018360496,6.09597139991696,1.10347958171847,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","multiplicative",4.30053994066548,0.793921512199226,6.22022098861635,0.047333308368054,"sigmoidal"
NA,0.45,1,"sigmoidal",4.25637563413317,5.87329796477049,1.24734125096478,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","multiplicative",4.30053994066548,0.793921512199226,6.22022098861635,0.0399653397067232,"sigmoidal"
NA,0.3,1,"sigmoidal",4.37709857751973,6.50535541956808,0.906240063986724,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","multiplicative",4.30053994066548,0.793921512199226,6.22022098861635,0.0350785900770434,"sigmoidal"
NA,0.15,1,"sigmoidal",4.2754361990032,6.34154864464463,1.00431700379206,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","multiplicative",4.30053994066548,0.793921512199226,6.22022098861635,0.033158316192402,"sigmoidal"
NA,0,1,"sigmoidal",4.26798652375224,6.42051229747544,0.970508046551332,NA,NA,NA,NA,NA,NA,"beta_0.5_1.5","multiplicative",4.30053994066548,0.793921512199226,6.22022098861635,0.0332668273947612,"sigmoidal"
NA,1.5,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_2","multiplicative",11.3172560969368,0.145237257228432,15.8321735747159,NA,"sigmoidal"
NA,1.35,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_2","multiplicative",11.3172560969368,0.145237257228432,15.8321735747159,NA,"sigmoidal"
NA,1.2,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_2","multiplicative",11.3172560969368,0.145237257228432,15.8321735747159,NA,"sigmoidal"
NA,1.05,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_2","multiplicative",11.3172560969368,0.145237257228432,15.8321735747159,NA,"sigmoidal"
NA,0.9,1,"sigmoidal",8.90346100034031,14.8436889532981,0.358884365178377,NA,NA,NA,NA,NA,NA,"beta_2_2","multiplicative",11.3172560969368,0.145237257228432,15.8321735747159,0.0894620460541112,"sigmoidal"
NA,0.75,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beta_2_2","multiplicative",11.3172560969368,0.145237257228432,15.8321735747159,NA,"sigmoidal"
