"true_model","noise_type","time_sampling","noise_parameter","distinct_model_parameters","distinct_runs","run_no","n_samples","t_min","t_max","maximum_SM","slope_param_SM","midpoint_SM","final_asymptoteIntensity_ratio_DSM","maximum_DSM","slope1_param_DSM","midpoint1_param_DSM","slope2_param_DSM","midPoint_distance_param_DSM","p_predicted_model","p_maximum_SM","p_midpoint_SM","p_slope_param_SM","p_AIC","p_mean_absolute_error","p_final_asymptoteIntensity_ratio_DSM","p_maximum_DSM","p_slope1_param_DSM","p_midpoint1_param_DSM","p_slope2_param_DSM","p_midPoint_distance_param_DSM","p_error"
"SM","additive","equidistant",0.15,5,1,55,55,3,30,"1.02952117186505","1.66689165188934","20.9249739702791",NA,NA,NA,NA,NA,NA,"sigmoidal","1.04068276953583","20.803590780362","1.46793227752859","-166.02593221193","0.00813808852433877",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,6,1,56,55,3,30,"0.652649417612702","1.66075052338979","13.780834749341",NA,NA,NA,NA,NA,NA,"sigmoidal","0.64448538163093","13.6340516116327","1.45081269109647","-173.720575607511","0.012868177466201",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,7,1,57,55,3,30,"16.4753243288957","0.964202452313104","12.7244260199368",NA,NA,NA,NA,NA,NA,"sigmoidal","16.4947745480437","12.549040812339","0.884935018730442","-166.011791114055","0.00764617716377735",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,8,1,58,55,3,30,"5.12980486634187","2.62244277923123","16.4578101150692",NA,NA,NA,NA,NA,NA,"sigmoidal","5.17735039577149","16.3692693146216","2.56087573973906","-157.949601406833","0.00789798058823645",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,9,1,59,55,3,30,"18.0080842670053","7.04234345846764","23.742596168071",NA,NA,NA,NA,NA,NA,"sigmoidal","18.378522995328","23.7618606269476","5.13749506187514","-134.579277130702","0.0067674471540086",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,10,1,60,55,3,30,"3.34444713718258","0.94281643931236","14.1003386992961",NA,NA,NA,NA,NA,NA,"sigmoidal","3.36580465689743","13.9264578656976","0.796766158239527","-173.129064477593","0.0125377980818084",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,11,1,61,55,3,30,"13.1075884877937","0.636358258059687","21.0908273365349",NA,NA,NA,NA,NA,NA,"sigmoidal","13.161079457524","20.7132549173226","0.524974146782729","-161.2639476224","0.0196526319359235",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,12,1,62,55,3,30,"15.1190062914044","0.821362309531779","8.22775933519006",NA,NA,NA,NA,NA,NA,"sigmoidal","14.9887586815423","7.89958017498673","0.777800956434947","-207.60172742443","0.0159960550532038",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,13,1,63,55,3,30,"0.751444802992046","0.908467041184016","15.4350375160575",NA,NA,NA,NA,NA,NA,"sigmoidal","0.755919794714874","15.2335257516246","0.736413132423936","-158.629609094134","0.0149327343483857",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,14,1,64,55,3,30,"0.545640766783617","2.70198796480176","9.93351938389242",NA,NA,NA,NA,NA,NA,"sigmoidal","0.546323490327425","9.87530799519564","2.56935089706693","-179.757822748881","0.00304379449734243",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,15,1,65,55,3,30,"1.290196042764","0.459201624572854","8.45957249030471",NA,NA,NA,NA,NA,NA,"sigmoidal","1.28860991144728","8.5411538221795","0.555808368098847","-194.555246534072","0.0158952992017939",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,16,1,66,55,3,30,"17.692705418705","1.87846049779655","17.5488743148744",NA,NA,NA,NA,NA,NA,"sigmoidal","17.7310024643301","17.4574638220189","1.62300472338651","-172.609366633006","0.0056132515286698",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,17,1,67,55,3,30,"13.9176891901065","2.95061796616491","4.84796870313585",NA,NA,NA,NA,NA,NA,"sigmoidal","13.9440961588792","4.82660313409634","2.71397184733921","-189.165686196804","0.00309720514358048",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,18,1,68,55,3,30,"8.53411932217423","1.63033181571465","15.8809089940041",NA,NA,NA,NA,NA,NA,"sigmoidal","8.53888362473975","15.7627572368717","1.23687335709636","-148.697136614645","0.01059897575946",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,19,1,69,55,3,30,"6.31532794227824","0.656730983367477","8.45810447819531",NA,NA,NA,NA,NA,NA,"sigmoidal","6.29145232919545","8.37284642654436","0.61383562619906","-186.208905110227","0.00792157993562126",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,20,1,70,55,3,30,"19.2932907120092","2.35588054349894","7.13533331640065",NA,NA,NA,NA,NA,NA,"sigmoidal","19.3377965206384","7.0156707926137","2.04754863408841","-189.185809076737","0.00657239886488028",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,21,1,71,55,3,30,"2.62576741424855","3.85888630500747","24.6041579637676",NA,NA,NA,NA,NA,NA,"sigmoidal","2.65802570531911","24.5084026029073","3.06248854758851","-125.276795451926","0.00617864121971321",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,22,1,72,55,3,30,"6.50908583900891","1.03898096086105","18.9078264590353",NA,NA,NA,NA,NA,NA,"sigmoidal","6.48185317709459","18.7869773619704","1.04861971866875","-161.879487154069","0.00475318264630299",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,23,1,73,55,3,30,"4.48196142916568","10.642119067812","14.2946865744889",NA,NA,NA,NA,NA,NA,"sigmoidal","4.48151444367334","14.2207363256868","6","-146.542953204426","0.00456154276645848",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,24,1,74,55,3,30,"8.21878976323642","0.401485192655556","15.6600965950638",NA,NA,NA,NA,NA,NA,"sigmoidal","8.28558537192707","15.3919100492073","0.362470268936871","-183.285074750352","0.0147669011120134",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,25,1,75,55,3,30,"1.6893137980951","0.849176911439919","18.5258105378598",NA,NA,NA,NA,NA,NA,"sigmoidal","1.68520286789955","18.2446746337725","0.662578838437836","-152.252502387598","0.0195007385102518",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,26,1,76,55,3,30,"9.72980432258919","2.15464043665631","5.7347805518657",NA,NA,NA,NA,NA,NA,"sigmoidal","9.85437499356961","5.76771677153242","2.07874565355698","-194.348503300802","0.0111852707774636",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,27,1,77,55,3,30,"18.0451568073826","1.75742706219676","26.0128300264478",NA,NA,NA,NA,NA,NA,"sigmoidal","18.323493299259","25.9574417648678","1.43715162767524","-137.765023501779","0.00621669578625121",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,28,1,78,55,3,30,"5.23597111215349","0.722511631689092","18.1942584402859",NA,NA,NA,NA,NA,NA,"sigmoidal","5.21417384198085","17.7232037936109","0.621744097996065","-167.630947296279","0.0198696051193235",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,29,1,79,55,3,30,"4.86920860798564","0.372837425411215","22.4326003286988",NA,NA,NA,NA,NA,NA,"sigmoidal","6.10665732477405","23.8822698992545","0.238349788875627","-167.785252761486","0.0420183559469332",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,30,1,80,55,3,30,"8.17963388727512","0.65978011489799","13.7725051380694",NA,NA,NA,NA,NA,NA,"sigmoidal","8.30907771697589","13.6840654197868","0.536904366800078","-178.836350470543","0.0189050932128359",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,31,1,81,55,3,30,"2.44476087649818","1.17706596460273","22.0373028125614",NA,NA,NA,NA,NA,NA,"sigmoidal","2.44745114098247","21.7553890799361","1.02206326970801","-131.855656385585","0.0112025970606552",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,32,1,82,55,3,30,"1.59739397605881","5.05405639705735","6.89316339790821",NA,NA,NA,NA,NA,NA,"sigmoidal","1.59599980149369","6.86130420886259","4.51021313884449","-198.634231535971","0.00225926496391938",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,33,1,83,55,3,30,"16.2864749435568","2.86452752383553","21.9626574888825",NA,NA,NA,NA,NA,NA,"sigmoidal","16.3859293121057","21.891235465981","2.12255662728863","-129.253449421411","0.00746000106349018",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,34,1,84,55,3,30,"4.05977646776009","1.69703051335363","19.8213725220412",NA,NA,NA,NA,NA,NA,"sigmoidal","4.05731086389231","19.6317821789883","1.36044637307701","-142.704434490185","0.00960871044088534",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,35,1,85,55,3,30,"0.95342043726705","0.27240215007325","19.1916105374694",NA,NA,NA,NA,NA,NA,"sigmoidal","0.995415669217766","19.2752111445685","0.242200626170141","-181.429908349284","0.0183315583044132",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,36,1,86,55,3,30,"9.27478386210278","1.11628303642693","19.2274822443724",NA,NA,NA,NA,NA,NA,"sigmoidal","9.39564372450792","19.052261824246","1.0111602609518","-146.576017994781","0.0116781155581815",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,37,1,87,55,3,30,"2.98930577214342","8.28541863532689","23.5478194300085",NA,NA,NA,NA,NA,NA,"sigmoidal","2.99711844569918","23.5412543144042","4.6323952117274","-139.617680428259","0.00440806517722182",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,38,1,88,55,3,30,"16.5895292037167","5.60102479255348","4.17595765739679",NA,NA,NA,NA,NA,NA,"sigmoidal","16.4758238515904","4.13058441274315","5.3852051838321","-195.198542983648","0.00782748184638206",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0.15,39,1,89,55,3,30,"18.2269671754679","2.90605041372237","13.4780767858028",NA,NA,NA,NA,NA,NA,"sigmoidal","18.3436405346901","13.3732812938036","2.80039881523573","-178.984706720229","0.0077391871601983",NA,NA,NA,NA,NA,NA,NA
